date,time,cum_ticks,open,high,low,close,volume,cum_buy_volume,cum_dollar_value
2023-03-03,13:48:46.235,496734,795.75,797.5,795.5,797.5,10001,1832275,1476438106.75
2023-03-03,13:51:42.593,499464,797.5,797.75,794.75,795.0,10006,1842281,1484405132.5
2023-03-03,13:53:38.308,502354,795.0,797.5,794.75,797.5,10002,1852283,1492368614.5
2023-03-03,13:55:45.154,504840,797.5,798.25,797.0,798.25,10001,1862284,1500346483.0
2023-03-03,13:58:02.082,507220,798.25,798.75,797.75,798.25,10009,1872293,1508336262.0
2023-03-03,14:00:35.977,509644,798.25,799.0,798.0,798.75,10006,1882299,1516328668.0
2023-03-03,14:03:37.869,511923,798.75,799.25,798.25,799.25,10186,1892485,1524465841.5
2023-03-03,14:04:30.912,514233,799.25,800.75,799.25,800.75,10000,1902485,1532464633.0
2023-03-03,14:06:05.575,516667,800.75,801.0,800.25,801.0,10000,1912485,1540470708.0
2023-03-03,14:07:34.208,518970,801.0,801.5,800.5,801.5,10002,1922487,1548481710.5
2023-03-03,14:08:14.651,521095,801.5,802.25,801.0,802.0,10010,1932497,1556504802.25
2023-03-03,14:08:44.227,523158,802.0,802.5,801.75,802.25,10013,1942510,1564537503.5
2023-03-03,14:10:14.206,525387,802.25,802.25,801.5,801.75,10007,1952517,1572562316.75
2023-03-03,14:13:36.867,528174,801.75,802.5,801.25,802.5,10000,1962517,1580580636.75
2023-03-03,14:15:29.788,530484,802.5,802.75,801.5,802.5,10004,1972521,1588605985.25
2023-03-03,14:17:47.959,533011,802.5,803.0,801.5,801.75,10002,1982523,1596630824.25
2023-03-03,14:20:44.212,535276,801.75,802.25,801.0,801.75,10001,1992524,1604648203.25
2023-03-03,14:24:22.039,537546,801.75,802.0,800.5,800.5,10011,2002535,1612669415.5
2023-03-03,14:28:14.006,539957,800.75,801.25,800.5,800.5,10007,2012542,1620683025.25
2023-03-03,14:31:41.170,542387,800.5,802.25,800.5,801.75,10005,2022547,1628698866.25
2023-03-03,14:35:04.544,544795,801.75,802.0,801.0,802.0,10006,2032553,1636719081.75
2023-03-03,14:37:54.734,547412,802.0,802.25,800.75,801.5,10052,2042605,1644776657.0
